string,occurance,result,prob
'11101',17,p(1|11101),0.934924736993713
'11110',41,p(1|11110),0.21970814379920672
'11111',43,p(1|11111),0.580914802159786
'000000',4957,p(1|000000),0.037522950848404305
'000001',216,p(1|000001),0.23151817638813338
'000010',187,p(1|000010),0.08559794199165827
'000011',65,p(1|000011),0.3385520353672447
'000100',206,p(1|000100),0.2232903926536111
'000101',25,p(1|000101),0.5577533929405036
'000110',52,p(1|000110),0.2884583044367406
'000111',29,p(1|000111),0.5174262117723013
'001000',196,p(1|001000),0.09697255127840532
'001001',54,p(1|001001),0.27779928839493173
'001010',34,p(1|001010),0.058798984893128806
'001011',20,p(1|001011),0.598527648505858
'001100',47,p(1|001100),0.23376834844964914
'001101',19,p(1|001101),0.3163030386433881
'001110',20,p(1|001110),0.29978273582076653
'001111',23,p(1|001111),0.39192559756420164
'010000',200,p(1|010000),0.10505652894308727
'010001',27,p(1|010001),0.25934027406292454
'010010',51,p(1|010010),0.5091405146821645
'010011',20,p(1|010011),0.5492445735187935
'010100',34,p(1|010100),0.3237910795087338
'010101',2,p(1|010101),0.5200851406303955
'010110',12,p(1|010110),0.17002088716059058
'010111',12,p(1|010111),0.5859638956796221
'011000',51,p(1|011000),0.3141571876271237
'011001',12,p(1|011001),0.16910823192716118
'011010',17,p(1|011010),0.23503593954510799
'011011',9,p(1|011011),0.7707412288301873
'011100',20,p(1|011100),0.15289159209336992
'011101',8,p(1|011101),0.8771659543491703
'011110',23,p(1|011110),0.17450267996307992
'011111',18,p(1|011111),0.44668166342338445
'100000',216,p(1|100000),0.1387541573776915
'100001',36,p(1|100001),0.41535486371221086
'100010',44,p(1|100010),0.2038937818292911
'100011',16,p(1|100011),0.4360397490479189
'100100',44,p(1|100100),0.182049842086681
'100101',29,p(1|100101),0.2085720423684212
'100110',14,p(1|100110),0.28576009245045686
'100111',14,p(1|100111),0.5706704898551348
'101000',31,p(1|101000),0.25673200689939185
'101001',17,p(1|101001),0.2939018127077914
'101010',2,p(1|101010),0.0073066007975295605
'101011',4,p(1|101011),0.03490959643463265
'101100',16,p(1|101100),0.06486152648272411
'101101',7,p(1|101101),0.4252943350434782
'101110',8,p(1|101110),0.25127584785079043
'101111',18,p(1|101111),0.49900909416644257
'110000',52,p(1|110000),0.28762567394455796
'110001',33,p(1|110001),0.2726723568143496
'110010',22,p(1|110010),0.13986136337197455
'110011',8,p(1|110011),0.3794776918592179
'110100',14,p(1|110100),0.42699538651395597
'110101',4,p(1|110101),0.7433013542906767
'110110',11,p(1|110110),0.4505537090332092
'110111',14,p(1|110111),0.7837311829971575
'111000',34,p(1|111000),0.4990164351391092
'111001',18,p(1|111001),0.3322421449565072
'111010',1,p(1|111010),0.05086288779259113
'111011',16,p(1|111011),0.4397480630748921
'111100',32,p(1|111100),0.4676067900772573
'111101',9,p(1|111101),0.997900797967539
'111110',18,p(1|111110),0.27682581656501426
'111111',25,p(1|111111),0.678825076705452
'0000000',4770,p(1|0000000),0.03501064018725332
'0000001',186,p(1|0000001),0.16140341091205818
'0000010',166,p(1|0000010),0.048260248843039665
'0000011',50,p(1|0000011),0.3002299326165045
'0000100',171,p(1|0000100),0.23389951615759533
'0000101',16,p(1|0000101),0.3783635593792731
'0000110',43,p(1|0000110),0.2560401268205779
'0000111',22,p(1|0000111),0.4105483346875197
'0001000',160,p(1|0001000),0.07504112143096395
'0001001',46,p(1|0001001),0.21778271677145747
'0001010',11,p(1|0001010),0.09005661021840165
'0001011',14,p(1|0001011),0.4321369436749481
'0001100',37,p(1|0001100),0.2163573861805602
'0001101',15,p(1|0001101),0.26763992886228866
'0001110',14,p(1|0001110),0.28600942802421186
'0001111',15,p(1|0001111),0.20376324701106277
'0010000',177,p(1|0010000),0.10170060326386308
'0010001',19,p(1|0010001),0.3149120249854341
'0010010',39,p(1|0010010),0.4619018359899402
'0010011',15,p(1|0010011),0.468285841310826
'0010100',32,p(1|0010100),0.3126048707075115
